cod;nome;ano;valor;;;;;;;;;;
29;BA;2023;5809;;;;;;;;;;
26;PE;2023;3832;;;;;;;;;;
33;RJ;2023;3704;;;;;;;;;;
23;CE;2023;2970;;;;;;;;;;
35;SP;2023;2862;;;;;;;;;;
31;MG;2023;2740;;;;;;;;;;
15;PA;2023;2521;;;;;;;;;;
43;RS;2023;1968;;;;;;;;;;
41;PR;2023;1964;;;;;;;;;;
21;MA;2023;1951;;;;;;;;;;
13;AM;2023;1571;;;;;;;;;;
52;GO;2023;1441;;;;;;;;;;
32;ES;2023;1183;;;;;;;;;;
27;AL;2023;1149;;;;;;;;;;
51;MT;2023;1143;;;;;;;;;;
25;PB;2023;1070;;;;;;;;;;
24;RN;2023;907;;;;;;;;;;
22;PI;2023;749;;;;;;;;;;
28;SE;2023;687;;;;;;;;;;
42;SC;2023;640;;;;;;;;;;
11;RO;2023;526;;;;;;;;;;
50;MS;2023;503;;;;;;;;;;
17;TO;2023;433;;;;;;;;;;
16;AP;2023;383;;;;;;;;;;
53;DF;2023;321;;;;;;;;;;
12;AC;2023;209;;;;;;;;;;
14;RR;2023;207;;;;;;;;;;
29;BA;2022;6776;;;;;;;;;;
33;RJ;2022;3762;;;;;;;;;;
26;PE;2022;3409;;;;;;;;;;
35;SP;2022;3212;;;;;;;;;;
23;CE;2022;3030;;;;;;;;;;
15;PA;2022;2901;;;;;;;;;;
31;MG;2022;2699;;;;;;;;;;
41;PR;2022;2600;;;;;;;;;;
43;RS;2022;1964;;;;;;;;;;
21;MA;2022;1942;;;;;;;;;;
13;AM;2022;1771;;;;;;;;;;
52;GO;2022;1687;;;;;;;;;;
24;RN;2022;1167;;;;;;;;;;
32;ES;2022;1147;;;;;;;;;;
27;AL;2022;1136;;;;;;;;;;
25;PB;2022;1105;;;;;;;;;;
51;MT;2022;1077;;;;;;;;;;
22;PI;2022;794;;;;;;;;;;
28;SE;2022;770;;;;;;;;;;
42;SC;2022;671;;;;;;;;;;
11;RO;2022;601;;;;;;;;;;
50;MS;2022;550;;;;;;;;;;
17;TO;2022;454;;;;;;;;;;
16;AP;2022;358;;;;;;;;;;
53;DF;2022;357;;;;;;;;;;
12;AC;2022;238;;;;;;;;;;
14;RR;2022;231;;;;;;;;;;
29;BA;2021;7206;;;;;;;;;;
33;RJ;2021;4693;;;;;;;;;;
23;CE;2021;3471;;;;;;;;;;
26;PE;2021;3439;;;;;;;;;;
35;SP;2021;3094;;;;;;;;;;
15;PA;2021;2847;;;;;;;;;;
31;MG;2021;2577;;;;;;;;;;
41;PR;2021;2348;;;;;;;;;;
21;MA;2021;1999;;;;;;;;;;
43;RS;2021;1889;;;;;;;;;;
13;AM;2021;1816;;;;;;;;;;
52;GO;2021;1812;;;;;;;;;;
32;ES;2021;1253;;;;;;;;;;
24;RN;2021;1179;;;;;;;;;;
25;PB;2021;1144;;;;;;;;;;
27;AL;2021;1070;;;;;;;;;;
51;MT;2021;888;;;;;;;;;;
28;SE;2021;790;;;;;;;;;;
22;PI;2021;766;;;;;;;;;;
42;SC;2021;712;;;;;;;;;;
50;MS;2021;551;;;;;;;;;;
11;RO;2021;536;;;;;;;;;;
16;AP;2021;462;;;;;;;;;;
17;TO;2021;441;;;;;;;;;;
53;DF;2021;401;;;;;;;;;;
14;RR;2021;258;;;;;;;;;;
12;AC;2021;205;;;;;;;;;;
29;BA;2020;7076;;;;;;;;;;
33;RJ;2020;4831;;;;;;;;;;
23;CE;2020;3992;;;;;;;;;;
26;PE;2020;3786;;;;;;;;;;
35;SP;2020;3396;;;;;;;;;;
15;PA;2020;2809;;;;;;;;;;
31;MG;2020;2743;;;;;;;;;;
41;PR;2020;2281;;;;;;;;;;
52;GO;2020;2177;;;;;;;;;;
21;MA;2020;2103;;;;;;;;;;
43;RS;2020;2094;;;;;;;;;;
24;RN;2020;1406;;;;;;;;;;
13;AM;2020;1326;;;;;;;;;;
27;AL;2020;1292;;;;;;;;;;
32;ES;2020;1229;;;;;;;;;;
25;PB;2020;1141;;;;;;;;;;
51;MT;2020;987;;;;;;;;;;
28;SE;2020;981;;;;;;;;;;
42;SC;2020;732;;;;;;;;;;
22;PI;2020;674;;;;;;;;;;
50;MS;2020;491;;;;;;;;;;
17;TO;2020;484;;;;;;;;;;
11;RO;2020;456;;;;;;;;;;
53;DF;2020;453;;;;;;;;;;
16;AP;2020;387;;;;;;;;;;
12;AC;2020;304;;;;;;;;;;
14;RR;2020;237;;;;;;;;;;
29;BA;2019;6118;;;;;;;;;;
33;RJ;2019;3552;;;;;;;;;;
26;PE;2019;3474;;;;;;;;;;
15;PA;2019;3405;;;;;;;;;;
35;SP;2019;3361;;;;;;;;;;
31;MG;2019;2893;;;;;;;;;;
23;CE;2019;2417;;;;;;;;;;
52;GO;2019;2253;;;;;;;;;;
43;RS;2019;2184;;;;;;;;;;
41;PR;2019;2095;;;;;;;;;;
21;MA;2019;1704;;;;;;;;;;
13;AM;2019;1592;;;;;;;;;;
24;RN;2019;1346;;;;;;;;;;
27;AL;2019;1115;;;;;;;;;;
32;ES;2019;1043;;;;;;;;;;
28;SE;2019;973;;;;;;;;;;
25;PB;2019;953;;;;;;;;;;
51;MT;2019;895;;;;;;;;;;
42;SC;2019;767;;;;;;;;;;
22;PI;2019;569;;;;;;;;;;
50;MS;2019;491;;;;;;;;;;
53;DF;2019;480;;;;;;;;;;
17;TO;2019;456;;;;;;;;;;
11;RO;2019;447;;;;;;;;;;
16;AP;2019;361;;;;;;;;;;
12;AC;2019;325;;;;;;;;;;
14;RR;2019;234;;;;;;;;;;
29;BA;2018;6787;;;;;;;;;;
33;RJ;2018;6455;;;;;;;;;;
23;CE;2018;4900;;;;;;;;;;
15;PA;2018;4528;;;;;;;;;;
26;PE;2018;4190;;;;;;;;;;
35;SP;2018;3727;;;;;;;;;;
31;MG;2018;3372;;;;;;;;;;
43;RS;2018;2699;;;;;;;;;;
52;GO;2018;2675;;;;;;;;;;
41;PR;2018;2443;;;;;;;;;;
21;MA;2018;1982;;;;;;;;;;
24;RN;2018;1825;;;;;;;;;;
13;AM;2018;1542;;;;;;;;;;
27;AL;2018;1441;;;;;;;;;;
25;PB;2018;1244;;;;;;;;;;
32;ES;2018;1165;;;;;;;;;;
28;SE;2018;1133;;;;;;;;;;
51;MT;2018;989;;;;;;;;;;
42;SC;2018;843;;;;;;;;;;
22;PI;2018;619;;;;;;;;;;
50;MS;2018;572;;;;;;;;;;
17;TO;2018;570;;;;;;;;;;
53;DF;2018;530;;;;;;;;;;
11;RO;2018;476;;;;;;;;;;
16;AP;2018;426;;;;;;;;;;
