cod;nome;ano;valor;;
52;GO;1989;717;;
12;AC;1989;89;;
11;RO;1989;443;;
12;AC;1989;89;;
13;AM;1989;289;;
14;RR;1989;100;;
15;PA;1989;615;;
16;AP;1989;36;;
17;TO;1989;49;;
21;MA;1989;382;;
22;PI;1989;125;;
23;CE;1989;560;;
24;RN;1989;222;;
25;PB;1989;409;;
26;PE;1989;2379;;
27;AL;1989;739;;
28;SE;1989;124;;
29;BA;1989;1000;;
31;MG;1989;1047;;
32;ES;1989;763;;
33;RJ;1989;3980;;
35;SP;1989;8508;;
41;PR;1989;1004;;
42;SC;1989;315;;
43;RS;1989;1419;;
50;MS;1989;330;;
51;MT;1989;440;;
53;DF;1989;308;;
52;GO;1989;717;;
51;MT;1989;440;;
50;MS;1989;330;;
43;RS;1989;1419;;
42;SC;1989;315;;
41;PR;1989;1004;;
35;SP;1989;8508;;
33;RJ;1989;3980;;
32;ES;1989;763;;
31;MG;1989;1047;;
29;BA;1989;1000;;
28;SE;1989;124;;
27;AL;1989;739;;
26;PE;1989;2379;;
25;PB;1989;409;;
24;RN;1989;222;;
23;CE;1989;560;;
22;PI;1989;125;;
21;MA;1989;382;;
17;TO;1989;49;;
16;AP;1989;36;;
15;PA;1989;615;;
14;RR;1989;100;;
13;AM;1989;289;;
53;DF;1989;308;;
11;RO;1990;517;;
12;AC;1990;58;;
13;AM;1990;332;;
14;RR;1990;107;;
15;PA;1990;669;;
16;AP;1990;40;;
17;TO;1990;47;;
21;MA;1990;410;;
22;PI;1990;104;;
23;CE;1990;510;;
24;RN;1990;180;;
25;PB;1990;399;;
26;PE;1990;2522;;
27;AL;1990;663;;
28;SE;1990;138;;
29;BA;1990;782;;
31;MG;1990;1029;;
32;ES;1990;791;;
33;RJ;1990;6614;;
35;SP;1990;8824;;
41;PR;1990;1041;;
42;SC;1990;341;;
43;RS;1990;1547;;
50;MS;1990;306;;
51;MT;1990;376;;
52;GO;1990;620;;
53;DF;1990;423;;
12;AC;1990;58;;
13;AM;1990;332;;
14;RR;1990;107;;
15;PA;1990;669;;
16;AP;1990;40;;
17;TO;1990;47;;
21;MA;1990;410;;
22;PI;1990;104;;
23;CE;1990;510;;
24;RN;1990;180;;
25;PB;1990;399;;
26;PE;1990;2522;;
27;AL;1990;663;;
28;SE;1990;138;;
29;BA;1990;782;;
31;MG;1990;1029;;
32;ES;1990;791;;
33;RJ;1990;6614;;
35;SP;1990;8824;;
41;PR;1990;1041;;
42;SC;1990;341;;
43;RS;1990;1547;;
50;MS;1990;306;;
51;MT;1990;376;;
52;GO;1990;620;;
53;DF;1990;423;;
11;RO;1990;517;;
52;GO;1991;741;;
51;MT;1991;403;;
50;MS;1991;338;;
43;RS;1991;1538;;
42;SC;1991;317;;
41;PR;1991;1073;;
35;SP;1991;8896;;
33;RJ;1991;4672;;
32;ES;1991;872;;
31;MG;1991;1071;;
29;BA;1991;528;;
28;SE;1991;287;;
27;AL;1991;590;;
26;PE;1991;2706;;
25;PB;1991;361;;
24;RN;1991;202;;
23;CE;1991;554;;
22;PI;1991;92;;
21;MA;1991;416;;
17;TO;1991;83;;
16;AP;1991;49;;
15;PA;1991;737;;
14;RR;1991;70;;
13;AM;1991;384;;
12;AC;1991;97;;
11;RO;1991;455;;
11;RO;1991;455;;
53;DF;1991;437;;
52;GO;1991;741;;
51;MT;1991;403;;
50;MS;1991;338;;
43;RS;1991;1538;;
42;SC;1991;317;;
41;PR;1991;1073;;
35;SP;1991;8896;;
33;RJ;1991;4672;;
32;ES;1991;872;;
31;MG;1991;1071;;
29;BA;1991;528;;
28;SE;1991;287;;
27;AL;1991;590;;
26;PE;1991;2706;;
25;PB;1991;361;;
24;RN;1991;202;;
23;CE;1991;554;;
22;PI;1991;92;;
21;MA;1991;416;;
17;TO;1991;83;;
16;AP;1991;49;;
15;PA;1991;737;;
14;RR;1991;70;;
13;AM;1991;384;;
12;AC;1991;97;;
53;DF;1991;437;;
53;DF;1992;384;;
12;AC;1992;94;;
13;AM;1992;321;;
14;RR;1992;86;;
15;PA;1992;701;;
16;AP;1992;69;;
17;TO;1992;60;;
21;MA;1992;395;;
22;PI;1992;82;;
23;CE;1992;493;;
24;RN;1992;184;;
25;PB;1992;319;;
26;PE;1992;2352;;
27;AL;1992;538;;
28;SE;1992;420;;
29;BA;1992;758;;
31;MG;1992;972;;
32;ES;1992;751;;
33;RJ;1992;4212;;
35;SP;1992;8472;;
41;PR;1992;971;;
42;SC;1992;311;;
43;RS;1992;1409;;
50;MS;1992;365;;
51;MT;1992;316;;
52;GO;1992;703;;
53;DF;1992;384;;
11;RO;1992;360;;
12;AC;1992;94;;
13;AM;1992;321;;
14;RR;1992;86;;
15;PA;1992;701;;
16;AP;1992;69;;
17;TO;1992;60;;
21;MA;1992;395;;
22;PI;1992;82;;
23;CE;1992;493;;
24;RN;1992;184;;
25;PB;1992;319;;
26;PE;1992;2352;;
27;AL;1992;538;;
28;SE;1992;420;;
29;BA;1992;758;;
31;MG;1992;972;;
32;ES;1992;751;;
33;RJ;1992;4212;;
35;SP;1992;8472;;
41;PR;1992;971;;
42;SC;1992;311;;
43;RS;1992;1409;;
50;MS;1992;365;;
51;MT;1992;316;;
52;GO;1992;703;;
11;RO;1992;360;;
41;PR;1993;1099;;
11;RO;1993;439;;
12;AC;1993;101;;
13;AM;1993;316;;
14;RR;1993;63;;
15;PA;1993;577;;
16;AP;1993;61;;
17;TO;1993;81;;
21;MA;1993;359;;
22;PI;1993;104;;
23;CE;1993;640;;
24;RN;1993;222;;
25;PB;1993;337;;
26;PE;1993;2543;;
27;AL;1993;569;;
28;SE;1993;286;;
29;BA;1993;1364;;
31;MG;1993;1028;;
32;ES;1993;995;;
33;RJ;1993;4972;;
35;SP;1993;8498;;
41;PR;1993;1099;;
42;SC;1993;337;;
43;RS;1993;1064;;
50;MS;1993;413;;
51;MT;1993;325;;
52;GO;1993;636;;
53;DF;1993;503;;
53;DF;1993;503;;
52;GO;1993;636;;
51;MT;1993;325;;
50;MS;1993;413;;
43;RS;1993;1064;;
42;SC;1993;337;;
35;SP;1993;8498;;
33;RJ;1993;4972;;
32;ES;1993;995;;
31;MG;1993;1028;;
29;BA;1993;1364;;
28;SE;1993;286;;
27;AL;1993;569;;
26;PE;1993;2543;;
25;PB;1993;337;;
24;RN;1993;222;;
23;CE;1993;640;;
22;PI;1993;104;;
21;MA;1993;359;;
17;TO;1993;81;;
16;AP;1993;61;;
15;PA;1993;577;;
14;RR;1993;63;;
13;AM;1993;316;;
12;AC;1993;101;;
11;RO;1993;439;;
11;RO;1994;360;;
52;GO;1994;681;;
51;MT;1994;296;;
50;MS;1994;472;;
43;RS;1994;1196;;
42;SC;1994;301;;
41;PR;1994;1130;;
35;SP;1994;9194;;
33;RJ;1994;5922;;
32;ES;1994;1053;;
31;MG;1994;941;;
29;BA;1994;1551;;
28;SE;1994;307;;
27;AL;1994;567;;
26;PE;1994;2399;;
25;PB;1994;354;;
24;RN;1994;191;;
23;CE;1994;573;;
22;PI;1994;89;;
21;MA;1994;289;;
17;TO;1994;95;;
16;AP;1994;109;;
15;PA;1994;657;;
14;RR;1994;72;;
13;AM;1994;359;;
12;AC;1994;77;;
53;DF;1994;505;;
11;RO;1994;360;;
53;DF;1994;505;;
52;GO;1994;681;;
51;MT;1994;296;;
50;MS;1994;472;;
43;RS;1994;1196;;
42;SC;1994;301;;
41;PR;1994;1130;;
35;SP;1994;9194;;
33;RJ;1994;5922;;
32;ES;1994;1053;;
31;MG;1994;941;;
29;BA;1994;1551;;
28;SE;1994;307;;
27;AL;1994;567;;
26;PE;1994;2399;;
25;PB;1994;354;;
24;RN;1994;191;;
23;CE;1994;573;;
22;PI;1994;89;;
21;MA;1994;289;;
17;TO;1994;95;;
16;AP;1994;109;;
15;PA;1994;657;;
14;RR;1994;72;;
13;AM;1994;359;;
12;AC;1994;77;;
53;DF;1995;572;;
52;GO;1995;652;;
51;MT;1995;516;;
50;MS;1995;582;;
43;RS;1995;1288;;
42;SC;1995;372;;
41;PR;1995;1223;;
35;SP;1995;10596;;
33;RJ;1995;7617;;
32;ES;1995;1031;;
31;MG;1995;1057;;
29;BA;1995;1360;;
28;SE;1995;227;;
27;AL;1995;680;;
26;PE;1995;2498;;
25;PB;1995;391;;
24;RN;1995;217;;
23;CE;1995;790;;
22;PI;1995;95;;
21;MA;1995;344;;
17;TO;1995;72;;
16;AP;1995;113;;
15;PA;1995;641;;
14;RR;1995;79;;
13;AM;1995;383;;
12;AC;1995;86;;
11;RO;1995;292;;
11;RO;1995;292;;
12;AC;1995;86;;
13;AM;1995;383;;
14;RR;1995;79;;
15;PA;1995;641;;
16;AP;1995;113;;
17;TO;1995;72;;
21;MA;1995;344;;
22;PI;1995;95;;
23;CE;1995;790;;
24;RN;1995;217;;
25;PB;1995;391;;
26;PE;1995;2498;;
27;AL;1995;680;;
28;SE;1995;227;;
29;BA;1995;1360;;
31;MG;1995;1057;;
32;ES;1995;1031;;
33;RJ;1995;7617;;
35;SP;1995;10596;;
41;PR;1995;1223;;
42;SC;1995;372;;
43;RS;1995;1288;;
50;MS;1995;582;;
51;MT;1995;516;;
52;GO;1995;652;;
53;DF;1995;572;;
41;PR;1996;1225;;
11;RO;1996;256;;
12;AC;1996;89;;
13;AM;1996;417;;
14;RR;1996;89;;
15;PA;1996;622;;
16;AP;1996;141;;
17;TO;1996;105;;
21;MA;1996;330;;
22;PI;1996;102;;
23;CE;1996;793;;
24;RN;1996;206;;
25;PB;1996;530;;
26;PE;1996;2773;;
27;AL;1996;671;;
28;SE;1996;207;;
29;BA;1996;1707;;
31;MG;1996;1075;;
32;ES;1996;1067;;
33;RJ;1996;7369;;
35;SP;1996;11361;;
41;PR;1996;1225;;
42;SC;1996;345;;
43;RS;1996;1290;;
50;MS;1996;642;;
51;MT;1996;568;;
52;GO;1996;663;;
53;DF;1996;562;;
11;RO;1996;256;;
12;AC;1996;89;;
13;AM;1996;417;;
14;RR;1996;89;;
15;PA;1996;622;;
16;AP;1996;141;;
17;TO;1996;105;;
21;MA;1996;330;;
22;PI;1996;102;;
23;CE;1996;793;;
24;RN;1996;206;;
25;PB;1996;530;;
26;PE;1996;2773;;
27;AL;1996;671;;
28;SE;1996;207;;
29;BA;1996;1707;;
31;MG;1996;1075;;
32;ES;1996;1067;;
33;RJ;1996;7369;;
35;SP;1996;11361;;
42;SC;1996;345;;
43;RS;1996;1290;;
50;MS;1996;642;;
51;MT;1996;568;;
52;GO;1996;663;;
53;DF;1996;562;;
52;GO;1997;646;;
12;AC;1997;86;;
13;AM;1997;433;;
14;RR;1997;80;;
15;PA;1997;678;;
16;AP;1997;128;;
17;TO;1997;93;;
21;MA;1997;285;;
22;PI;1997;129;;
23;CE;1997;941;;
24;RN;1997;208;;
25;PB;1997;449;;
26;PE;1997;3463;;
27;AL;1997;580;;
28;SE;1997;172;;
29;BA;1997;1805;;
31;MG;1997;1168;;
32;ES;1997;1287;;
33;RJ;1997;7298;;
35;SP;1997;11509;;
41;PR;1997;1424;;
42;SC;1997;372;;
43;RS;1997;1458;;
50;MS;1997;652;;
51;MT;1997;673;;
52;GO;1997;646;;
53;DF;1997;565;;
11;RO;1997;322;;
12;AC;1997;86;;
13;AM;1997;433;;
14;RR;1997;80;;
15;PA;1997;678;;
16;AP;1997;128;;
17;TO;1997;93;;
21;MA;1997;285;;
22;PI;1997;129;;
23;CE;1997;941;;
24;RN;1997;208;;
25;PB;1997;449;;
26;PE;1997;3463;;
27;AL;1997;580;;
28;SE;1997;172;;
29;BA;1997;1805;;
31;MG;1997;1168;;
32;ES;1997;1287;;
33;RJ;1997;7298;;
35;SP;1997;11509;;
11;RO;1997;322;;
41;PR;1997;1424;;
42;SC;1997;372;;
43;RS;1997;1458;;
50;MS;1997;652;;
51;MT;1997;673;;
53;DF;1997;565;;
11;RO;1998;449;;
11;RO;1998;449;;
12;AC;1998;98;;
13;AM;1998;481;;
14;RR;1998;122;;
15;PA;1998;707;;
16;AP;1998;148;;
17;TO;1998;110;;
21;MA;1998;247;;
