cod;nome;ano;valor;;
52;GO;1989;91;;
11;RO;1989;47;;
11;RO;1989;47;;
12;AC;1989;6;;
13;AM;1989;31;;
14;RR;1989;12;;
15;PA;1989;51;;
16;AP;1989;3;;
17;TO;1989;14;;
21;MA;1989;28;;
22;PI;1989;17;;
23;CE;1989;47;;
24;RN;1989;14;;
25;PB;1989;52;;
26;PE;1989;173;;
27;AL;1989;66;;
28;SE;1989;15;;
29;BA;1989;80;;
31;MG;1989;168;;
32;ES;1989;75;;
33;RJ;1989;304;;
35;SP;1989;671;;
41;PR;1989;105;;
42;SC;1989;39;;
43;RS;1989;142;;
50;MS;1989;39;;
51;MT;1989;31;;
53;DF;1989;23;;
12;AC;1989;6;;
13;AM;1989;31;;
14;RR;1989;12;;
15;PA;1989;51;;
16;AP;1989;3;;
17;TO;1989;14;;
21;MA;1989;28;;
22;PI;1989;17;;
23;CE;1989;47;;
24;RN;1989;14;;
25;PB;1989;52;;
26;PE;1989;173;;
27;AL;1989;66;;
28;SE;1989;15;;
29;BA;1989;80;;
31;MG;1989;168;;
32;ES;1989;75;;
33;RJ;1989;304;;
35;SP;1989;671;;
41;PR;1989;105;;
42;SC;1989;39;;
43;RS;1989;142;;
50;MS;1989;39;;
51;MT;1989;31;;
52;GO;1989;91;;
53;DF;1989;23;;
11;RO;1990;37;;
12;AC;1990;6;;
13;AM;1990;31;;
14;RR;1990;20;;
15;PA;1990;78;;
16;AP;1990;5;;
17;TO;1990;7;;
21;MA;1990;32;;
22;PI;1990;5;;
23;CE;1990;45;;
24;RN;1990;20;;
25;PB;1990;41;;
26;PE;1990;219;;
27;AL;1990;55;;
28;SE;1990;13;;
29;BA;1990;77;;
31;MG;1990;148;;
32;ES;1990;88;;
33;RJ;1990;477;;
35;SP;1990;679;;
41;PR;1990;125;;
42;SC;1990;46;;
43;RS;1990;157;;
50;MS;1990;40;;
51;MT;1990;39;;
52;GO;1990;58;;
53;DF;1990;40;;
11;RO;1990;37;;
12;AC;1990;6;;
13;AM;1990;31;;
14;RR;1990;20;;
15;PA;1990;78;;
16;AP;1990;5;;
17;TO;1990;7;;
21;MA;1990;32;;
22;PI;1990;5;;
23;CE;1990;45;;
24;RN;1990;20;;
25;PB;1990;41;;
26;PE;1990;219;;
27;AL;1990;55;;
28;SE;1990;13;;
29;BA;1990;77;;
31;MG;1990;148;;
32;ES;1990;88;;
33;RJ;1990;477;;
35;SP;1990;679;;
41;PR;1990;125;;
42;SC;1990;46;;
43;RS;1990;157;;
50;MS;1990;40;;
51;MT;1990;39;;
52;GO;1990;58;;
53;DF;1990;40;;
53;DF;1991;52;;
11;RO;1991;33;;
12;AC;1991;9;;
13;AM;1991;18;;
14;RR;1991;9;;
15;PA;1991;72;;
16;AP;1991;5;;
17;TO;1991;9;;
21;MA;1991;54;;
22;PI;1991;11;;
23;CE;1991;53;;
24;RN;1991;17;;
25;PB;1991;40;;
26;PE;1991;232;;
27;AL;1991;67;;
28;SE;1991;21;;
29;BA;1991;64;;
31;MG;1991;159;;
32;ES;1991;95;;
33;RJ;1991;370;;
35;SP;1991;789;;
41;PR;1991;149;;
42;SC;1991;38;;
43;RS;1991;156;;
50;MS;1991;47;;
51;MT;1991;49;;
52;GO;1991;110;;
53;DF;1991;52;;
11;RO;1991;33;;
12;AC;1991;9;;
13;AM;1991;18;;
14;RR;1991;9;;
15;PA;1991;72;;
16;AP;1991;5;;
17;TO;1991;9;;
21;MA;1991;54;;
22;PI;1991;11;;
23;CE;1991;53;;
24;RN;1991;17;;
25;PB;1991;40;;
