cod;nome;ano;valor
15;PA;1980;0.4701
35;SP;1980;0.4712
42;SC;1980;0.6615
43;RS;1980;13.893
50;MS;1980;17.521
51;MT;1980;0.0878
52;GO;1980;0.6735
53;DF;1980;0.4248
51;MT;1980;0.0878
50;MS;1980;17.521
43;RS;1980;13.893
42;SC;1980;0.6615
35;SP;1980;0.4712
33;RJ;1980;0.3454
32;ES;1980;0.5437
29;BA;1980;0.2538
28;SE;1980;0.2631
27;AL;1980;0.5547
26;PE;1980;0.3744
25;PB;1980;0.2166
24;RN;1980;0.5266
23;CE;1980;0.1702
22;PI;1980;0.2337
21;MA;1980;0.0751
16;AP;1980;0.5706
15;PA;1980;0.4701
14;RR;1980;12.639
13;AM;1980;0.4893
12;AC;1980;13.277
11;RO;1980;18.329
53;DF;1980;0.4248
41;PR;1980;0.983
31;MG;1980;0.725
17;TO;1980;0
11;RO;1980;18.329
12;AC;1980;13.277
13;AM;1980;0.4893
14;RR;1980;12.639
52;GO;1980;0.6735
16;AP;1980;0.5706
21;MA;1980;0.0751
22;PI;1980;0.2337
23;CE;1980;0.1702
24;RN;1980;0.5266
25;PB;1980;0.2166
26;PE;1980;0.3744
27;AL;1980;0.5547
28;SE;1980;0.2631
29;BA;1980;0.2538
32;ES;1980;0.5437
33;RJ;1980;0.3454
41;PR;1980;0.983
31;MG;1980;0.725
17;TO;1980;0
17;TO;1981;0
16;AP;1981;0
13;AM;1981;0.0675
14;RR;1981;11.128
53;DF;1981;0.496
51;MT;1981;0
35;SP;1981;0.595
33;RJ;1981;0.298
11;RO;1981;0.9248
12;AC;1981;0.3223
13;AM;1981;0.0675
14;RR;1981;11.128
15;PA;1981;0.5393
21;MA;1981;0.0492
23;CE;1981;0.2979
24;RN;1981;0.6191
25;PB;1981;0.4637
26;PE;1981;0.5306
27;AL;1981;0.3459
28;SE;1981;0.1713
29;BA;1981;0.2074
31;MG;1981;0.9291
15;PA;1981;0.5393
21;MA;1981;0.0492
23;CE;1981;0.2979
24;RN;1981;0.6191
25;PB;1981;0.4637
32;ES;1981;0.3385
26;PE;1981;0.5306
27;AL;1981;0.3459
28;SE;1981;0.1713
29;BA;1981;0.2074
31;MG;1981;0.9291
32;ES;1981;0.3385
41;PR;1981;0.8839
42;SC;1981;0.6759
43;RS;1981;16.245
50;MS;1981;0.9277
52;GO;1981;11.598
22;PI;1981;0.138
17;TO;1981;0
16;AP;1981;0
11;RO;1981;0.9248
12;AC;1981;0.3223
53;DF;1981;0.496
52;GO;1981;11.598
50;MS;1981;0.9277
43;RS;1981;16.245
42;SC;1981;0.6759
41;PR;1981;0.8839
51;MT;1981;0
35;SP;1981;0.595
33;RJ;1981;0.298
22;PI;1981;0.138
41;PR;1982;0.8237
11;RO;1982;0.6654
12;AC;1982;0.6225
13;AM;1982;0.3882
15;PA;1982;0.2998
16;AP;1982;10.265
21;MA;1982;0.0722
22;PI;1982;0.3612
23;CE;1982;0.1644
24;RN;1982;0.6543
25;PB;1982;0.3516
26;PE;1982;0.4911
27;AL;1982;0.2893
28;SE;1982;0.1666
29;BA;1982;0.3547
31;MG;1982;0.6892
32;ES;1982;0.6596
35;SP;1982;0.5504
41;PR;1982;0.8237
42;SC;1982;0.6077
43;RS;1982;12.113
50;MS;1982;10.417
51;MT;1982;0.0775
53;DF;1982;0.3201
52;GO;1982;0.794
33;RJ;1982;0.277
17;TO;1982;0
14;RR;1982;0
53;DF;1982;0.3201
51;MT;1982;0.0775
50;MS;1982;10.417
43;RS;1982;12.113
42;SC;1982;0.6077
35;SP;1982;0.5504
32;ES;1982;0.6596
31;MG;1982;0.6892
29;BA;1982;0.3547
28;SE;1982;0.1666
27;AL;1982;0.2893
26;PE;1982;0.4911
25;PB;1982;0.3516
24;RN;1982;0.6543
23;CE;1982;0.1644
22;PI;1982;0.3612
21;MA;1982;0.0722
16;AP;1982;10.265
15;PA;1982;0.2998
13;AM;1982;0.3882
12;AC;1982;0.6225
11;RO;1982;0.6654
14;RR;1982;0
17;TO;1982;0
33;RJ;1982;0.277
52;GO;1982;0.794
16;AP;1983;19.454
21;MA;1983;0.0707
22;PI;1983;0.2659
23;CE;1983;0.2152
24;RN;1983;0.6386
27;AL;1983;0.7062
28;SE;1983;0.1621
29;BA;1983;0.1585
31;MG;1983;0.6497
32;ES;1983;0.5512
33;RJ;1983;0.2993
35;SP;1983;0.7244
41;PR;1983;0.9303
42;SC;1983;0.9558
43;RS;1983;14.871
51;MT;1983;0.2182
52;GO;1983;11.608
53;DF;1983;0.6203
12;AC;1983;0
14;RR;1983;0
17;TO;1983;0
25;PB;1983;0.416
26;PE;1983;0.484
50;MS;1983;14.2
53;DF;1983;0.6203
52;GO;1983;11.608
51;MT;1983;0.2182
43;RS;1983;14.871
42;SC;1983;0.9558
41;PR;1983;0.9303
35;SP;1983;0.7244
33;RJ;1983;0.2993
32;ES;1983;0.5512
31;MG;1983;0.6497
29;BA;1983;0.1585
28;SE;1983;0.1621
27;AL;1983;0.7062
24;RN;1983;0.6386
23;CE;1983;0.2152
22;PI;1983;0.2659
21;MA;1983;0.0707
16;AP;1983;19.454
15;PA;1983;0.4718
13;AM;1983;0.9322
11;RO;1983;12.089
14;RR;1983;0
17;TO;1983;0
25;PB;1983;0.416
26;PE;1983;0.484
12;AC;1983;0
50;MS;1983;14.2
11;RO;1983;12.089
13;AM;1983;0.9322
15;PA;1983;0.4718
50;MS;1984;11.202
42;SC;1984;0.657
28;SE;1984;0
27;AL;1984;0.368
17;TO;1984;0
15;PA;1984;0.404
14;RR;1984;0
11;RO;1984;11.077
12;AC;1984;0.5827
13;AM;1984;0.2989
16;AP;1984;18.486
21;MA;1984;0.0462
22;PI;1984;0.1305
23;CE;1984;0.0881
24;RN;1984;0.3358
25;PB;1984;0.2051
26;PE;1984;0.4309
29;BA;1984;0.3681
31;MG;1984;0.6746
32;ES;1984;0.5378
33;RJ;1984;0.3632
35;SP;1984;0.6387
41;PR;1984;12.871
43;RS;1984;12.945
51;MT;1984;0.6855
52;GO;1984;12.484
53;DF;1984;0.2256
14;RR;1984;0
15;PA;1984;0.404
17;TO;1984;0
27;AL;1984;0.368
28;SE;1984;0
42;SC;1984;0.657
53;DF;1984;0.2256
52;GO;1984;12.484
51;MT;1984;0.6855
50;MS;1984;11.202
43;RS;1984;12.945
41;PR;1984;12.871
35;SP;1984;0.6387
33;RJ;1984;0.3632
32;ES;1984;0.5378
31;MG;1984;0.6746
29;BA;1984;0.3681
26;PE;1984;0.4309
25;PB;1984;0.2051
24;RN;1984;0.3358
23;CE;1984;0.0881
22;PI;1984;0.1305
21;MA;1984;0.0462
16;AP;1984;18.486
13;AM;1984;0.2989
12;AC;1984;0.5827
11;RO;1984;11.077
42;SC;1985;0.7173
43;RS;1985;15.488
50;MS;1985;14.137
51;MT;1985;0.5187
52;GO;1985;0.9069
53;DF;1985;0.6571
35;SP;1985;0.6318
41;PR;1985;11.373
42;SC;1985;0.7173
43;RS;1985;15.488
26;PE;1985;0.5614
27;AL;1985;0.6295
31;MG;1985;0.5328
32;ES;1985;0.4813
33;RJ;1985;0.2755
29;BA;1985;0.218
28;SE;1985;0
17;TO;1985;0
24;RN;1985;0.7501
23;CE;1985;0.1904
22;PI;1985;0.4273
21;MA;1985;0.0905
16;AP;1985;0.4403
15;PA;1985;0.4384
14;RR;1985;0.7041
13;AM;1985;0.5761
12;AC;1985;0.2823
11;RO;1985;14.058
50;MS;1985;14.137
51;MT;1985;0.5187
52;GO;1985;0.9069
53;DF;1985;0.6571
25;PB;1985;0.1686
33;RJ;1985;0.2755
32;ES;1985;0.4813
31;MG;1985;0.5328
27;AL;1985;0.6295
26;PE;1985;0.5614
25;PB;1985;0.1686
11;RO;1985;14.058
12;AC;1985;0.2823
13;AM;1985;0.5761
24;RN;1985;0.7501
23;CE;1985;0.1904
22;PI;1985;0.4273
21;MA;1985;0.0905
16;AP;1985;0.4403
15;PA;1985;0.4384
14;RR;1985;0.7041
17;TO;1985;0
28;SE;1985;0
29;BA;1985;0.218
35;SP;1985;0.6318
41;PR;1985;11.373
32;ES;1986;0.5557
31;MG;1986;0.777
28;SE;1986;0.075
17;TO;1986;0
16;AP;1986;12.62
14;RR;1986;0
53;DF;1986;0.5678
52;GO;1986;0.8582
50;MS;1986;10.662
43;RS;1986;13.262
41;PR;1986;10.399
35;SP;1986;0.6673
33;RJ;1986;0.3217
32;ES;1986;0.5557
29;BA;1986;0.2042
27;AL;1986;0.7038
26;PE;1986;0.3442
25;PB;1986;0.3992
24;RN;1986;0.2292
23;CE;1986;0.1191
22;PI;1986;0.2939
21;MA;1986;0.0887
15;PA;1986;0.4941
13;AM;1986;0.3336
